                  epoch,         train/box_loss,         train/cls_loss,         train/dfl_loss,   metrics/precision(B),      metrics/recall(B),       metrics/mAP50(B),    metrics/mAP50-95(B),           val/box_loss,           val/cls_loss,           val/dfl_loss,                 lr/pg0,                 lr/pg1,                 lr/pg2
                      1,                 4.3222,                 4.0166,                  1.985,                  9e-05,                0.00065,                  5e-05,                  1e-05,                 4.8236,                 3.7993,                 2.2572,                  6e-05,                  6e-05,                  6e-05
                      2,                 4.1257,                 3.9045,                 1.8727,                0.00378,                0.02749,                0.00196,                0.00044,                 3.5622,                  3.648,                   1.34,             0.00013986,             0.00013986,             0.00013986
                      3,                   3.09,                   3.34,                 1.2055,                0.03254,                0.23298,                0.02755,                0.00721,                 2.8583,                 3.4528,                 1.0417,             0.00021956,             0.00021956,             0.00021956
                      4,                 2.7925,                 2.4356,                 1.0337,                 0.0409,                0.28272,                0.06712,                0.01633,                 2.6072,                 3.1804,                0.98995,             0.00029911,             0.00029911,             0.00029911
                      5,                 2.6688,                 1.6606,                 1.0056,                0.06285,                0.43717,                0.19442,                0.05769,                 2.7232,                 2.6899,                 1.0475,              0.0003785,              0.0003785,              0.0003785
                      6,                 2.5412,                 1.4147,                0.98637,                0.08264,                0.58508,                0.34582,                0.11935,                 2.5627,                 2.2899,                 1.0219,             0.00045772,             0.00045772,             0.00045772
                      7,                 2.4714,                 1.3226,                0.99282,                0.77998,                0.27552,                0.44595,                0.13907,                 2.6292,                  1.851,                 1.0463,             0.00053679,             0.00053679,             0.00053679
                      8,                 2.3653,                 1.2859,                0.97006,                0.61362,                0.29319,                0.35704,                0.10381,                 2.8969,                 1.7052,                 1.1699,              0.0006157,              0.0006157,              0.0006157
                      9,                 2.3803,                 1.2534,                0.95897,                0.63813,                 0.3266,                0.41275,                0.12651,                 2.5886,                 1.8432,                 1.0277,             0.00069446,             0.00069446,             0.00069446
                     10,                 2.2881,                 1.1938,                0.95465,                0.73958,                0.28207,                0.45707,                0.15061,                 2.4234,                 1.8954,                0.99042,             0.00077305,             0.00077305,             0.00077305
                     11,                 2.3445,                 1.1786,                0.96693,                0.58906,                0.38275,                0.41874,                0.12751,                 2.4811,                  2.017,                0.97899,             0.00085149,             0.00085149,             0.00085149
                     12,                 2.2618,                 1.1451,                 0.9605,                0.72249,                0.21638,                0.39652,                0.13141,                 2.4383,                  1.963,                0.99034,             0.00092976,             0.00092976,             0.00092976
                     13,                 2.1956,                 1.0842,                 0.9539,                0.78812,                0.29647,                0.51977,                0.16423,                 2.3755,                  1.921,                0.96306,              0.0010079,              0.0010079,              0.0010079
                     14,                 2.2036,                 1.0832,                0.94759,                0.80913,                0.31906,                 0.5497,                0.19172,                 2.2412,                 1.8304,                0.93688,              0.0010858,              0.0010858,              0.0010858
                     15,                 2.1703,                 1.0892,                0.94125,                0.82602,                0.28272,                0.51615,                 0.1788,                  2.283,                  1.861,                0.94245,              0.0011636,              0.0011636,              0.0011636
                     16,                 2.1982,                 1.0733,                0.95842,                0.82623,                0.33296,                0.55992,                0.18882,                 2.2621,                 1.8345,                0.94387,              0.0012413,              0.0012413,              0.0012413
                     17,                 2.1776,                  1.053,                0.94477,                0.82349,                0.32976,                0.55652,                0.17715,                 2.3471,                 1.8151,                0.96715,              0.0013188,              0.0013188,              0.0013188
                     18,                 2.2489,                 1.0918,                0.94127,                0.81188,                0.33893,                0.57583,                0.21093,                 2.2308,                 1.6764,                0.96192,              0.0013961,              0.0013961,              0.0013961
                     19,                 2.1012,                 1.0173,                0.93586,                0.78316,                0.38056,                 0.5593,                0.18982,                 2.2946,                 1.7026,                0.96501,              0.0014733,              0.0014733,              0.0014733
                     20,                 2.0983,                 1.0078,                0.93601,                0.72709,                0.39929,                0.52482,                0.18075,                 2.3239,                 1.5528,                0.97064,              0.0015503,              0.0015503,              0.0015503
                     21,                 2.2014,                 1.0376,                0.95556,                0.66778,                0.47251,                0.51545,                0.16933,                 2.4321,                 1.4236,                 1.0053,              0.0016271,              0.0016271,              0.0016271
                     22,                 2.2046,                 1.0391,                0.94135,                0.67811,                0.58181,                0.61153,                0.21094,                 2.1909,                 1.3877,                0.92949,              0.0017038,              0.0017038,              0.0017038
                     23,                 2.1166,                 1.0346,                0.94204,                0.66628,                0.54581,                0.57471,                0.19101,                 2.2894,                 1.2897,                0.96159,              0.0017804,              0.0017804,              0.0017804
                     24,                 2.1913,                 1.0471,                0.94194,                0.71246,                0.55782,                0.62373,                0.21723,                 2.2313,                 1.3942,                0.93193,              0.0018567,              0.0018567,              0.0018567
                     25,                 2.1128,                0.99889,                0.93302,                0.62027,                0.54712,                0.52374,                0.17087,                 2.3186,                 1.3633,                0.96388,               0.001933,               0.001933,               0.001933
                     26,                 2.0462,                0.96757,                0.93038,                0.72479,                0.52225,                0.60327,                0.22951,                 2.1687,                 1.2448,                0.93806,              0.0019505,              0.0019505,              0.0019505
                     27,                 2.0987,                 1.0466,                0.94005,                0.59369,                0.47718,                0.48833,                0.16151,                 2.3862,                 1.2349,                0.98769,              0.0019505,              0.0019505,              0.0019505
                     28,                 2.1022,                0.96201,                0.92886,                0.70813,                0.55105,                0.59815,                0.22332,                 2.1428,                 1.2786,                0.92983,              0.0019485,              0.0019485,              0.0019485
                     29,                 2.0912,                0.98842,                   0.93,                0.68137,                0.56539,                0.58536,                0.19197,                 2.3485,                 1.2222,                0.97627,              0.0019465,              0.0019465,              0.0019465
                     30,                 2.1165,                 0.9823,                 0.9266,                0.71666,                0.60209,                0.65646,                0.24835,                  2.164,                 1.1407,                0.94158,              0.0019446,              0.0019446,              0.0019446
                     31,                  2.088,                0.97622,                0.92154,                0.71496,                0.60079,                0.65969,                0.24107,                 2.1701,                 1.1552,                0.93162,              0.0019426,              0.0019426,              0.0019426
                     32,                 2.0526,                0.97859,                0.92268,                 0.7107,                0.49018,                0.54277,                0.20394,                 2.2505,                 1.1589,                0.93274,              0.0019406,              0.0019406,              0.0019406
                     33,                 2.0885,                0.98045,                0.92622,                0.70824,                0.61164,                0.67045,                0.24061,                 2.1686,                 1.0846,                0.92774,              0.0019386,              0.0019386,              0.0019386
                     34,                 2.0661,                 0.9553,                0.91758,                0.74388,                0.59751,                0.67466,                0.25756,                 2.0977,                 1.0246,                0.93034,              0.0019366,              0.0019366,              0.0019366
                     35,                 2.0104,                0.93847,                0.92664,                0.63606,                0.47775,                0.44893,                0.13926,                 2.4491,                 1.0903,                 1.0003,              0.0019347,              0.0019347,              0.0019347
                     36,                 2.0034,                0.92715,                 0.9276,                0.74531,                0.59555,                 0.6329,                0.21447,                 2.2475,                 1.0025,                0.95535,              0.0019327,              0.0019327,              0.0019327
                     37,                 1.9697,                0.91042,                0.91942,                0.72692,                0.57839,                0.62076,                0.21159,                 2.2897,                 1.0004,                0.96442,              0.0019307,              0.0019307,              0.0019307
                     38,                  1.965,                0.88894,                0.91932,                0.75242,                0.57657,                0.66491,                0.23317,                 2.2543,                 1.0715,                0.94303,              0.0019287,              0.0019287,              0.0019287
                     39,                 1.9878,                 0.9378,                0.90127,                0.70397,                 0.5949,                0.66632,                0.24482,                 2.1793,                 1.1285,                0.93705,              0.0019267,              0.0019267,              0.0019267
                     40,                 1.9744,                0.92931,                0.92212,                0.70467,                0.55434,                0.62387,                0.22303,                 2.2129,                 1.2412,                0.93584,              0.0019248,              0.0019248,              0.0019248
                     41,                  2.011,                0.93227,                0.91567,                0.66039,                0.50523,                0.54161,                0.16708,                 2.4934,                 1.3934,                0.97714,              0.0019228,              0.0019228,              0.0019228
